opaque_query_id,primary_family,provisional_split,cluster_id_hash,dimension_tags_first_pass_except_D6,D6_status,annotation_status,needs_second_review
q_b7d036582f1f01ec746f,actor_condition_applicability,HOLDOUT_TEST,b07814340133950cd6b07d1f8eebfe3f17347afdca520818ae8595c44b0efc05,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_bc2e1864c7f8705e3966,actor_condition_applicability,HOLDOUT_TEST,f21d7154125332ca0050585d32e955946bc5dce7c8c3f5ff7156e02a2f7acc2c,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_50069fac66d1e12205cf,actor_condition_applicability,HOLDOUT_TEST,7371dbf48799f175b219e3a310dc9e7e27c84fff3f5b88a33b733ffe53ba4faf,D3|D5|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_9a930d0151f1f2cbb452,actor_condition_applicability,HOLDOUT_TEST,46a26727908c64994fec865772731c11b5b6f751680a87dfaa2e119d65b0e5ef,D3|D4|D5|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_641743d24f2f6ba314bd,actor_condition_applicability,HOLDOUT_TEST,616608a71fb6ec72691235d356838cdae12a160933b30abbb70e50a1223a8dba,D3|D5|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_025b90f0aa489f1f483f,actor_condition_applicability,HOLDOUT_TEST,8157ea3a5850b36335e480ce5bac4f6804d5196017e6432f591be9e78ed80703,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_5a8c3a6939072e9d256a,actor_condition_applicability,HOLDOUT_TEST,aea12411e64b124b13f627cdcabed37bd11f72de2e84aba8385e65cf6a0b8abb,D3|D5|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_af1b2d179667a0c14929,actor_condition_applicability,EXCLUDE,7bb4739654d43099203240cf2425df007e73b17eab64b500e2890ad796bdf114,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_11a30508142a0893b998,actor_condition_applicability,RESERVE,f15f5e84512392377fbbb259dd723fbb65eeb1e84d2026529a0b830b2a613c8d,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_c281e8c976e7207bf144,actor_condition_applicability,RESERVE,e15246559932cd44740fa667922003a37b50913c2b634673658b32694ed5afa0,D8|D9|D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_dbb862f75f4b23442a3d,corpus_boundary_partial_answer_handling,DEV,eb949232868c0a677e7b45aed09f0c69f15d9e75b36618ef1d3fed91eae83c24,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_fc35aef795821c34b6f1,corpus_boundary_partial_answer_handling,DEV,29b00edda64abdde639b139b1bcb607cc7da30cac5c2bd285fecc3f6a826924e,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_29b66d9a5f0ae2ef98a4,corpus_boundary_partial_answer_handling,DEV,c32a055df85aa39d3c1c2a5c361839e3f1c3c7e2f1592e228a95ebf03eae9e32,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_4fe83fa6e245d03c20fc,corpus_boundary_partial_answer_handling,DEV,bb62814fcf2dd3829a887fd5b72084b009c9cf01a4c17f4a21c295c063d5538a,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_1e3dead5b493f0725223,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,97eb39fc4ece8d7b94f476d6116c481d81e46ce9187d0e272d49ac5829014b8d,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_8ccdc3c4ee85dadcd60d,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,6b8a4a2908c8cbb1435a2dc9cddfc1c41a6ce68116aff36706a47230eac17c61,D3|D5|D8|D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_89ad16a113cd52847d7c,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,a34c153b4133c0873b26d86d32dbb1b6a6876d15d356c5fc77c46461cdedf3bd,D8|D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_74a9553aea20f985c661,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,863b02f5313eb496bf5d2f101bd7cb5ef45c8284c32f34517cdb95d0aed8456f,D3|D5|D8|D9|D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_2082d6e4ad79123c6d14,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,8fc6ce53aaf21ed25b8d54b065f6bd5427284b65aa61f5145f83c3eac75f7b23,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_88f96f6661303a520be5,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,a47872c9f771f64f102682047e79dc5ae37d4c5e0bcf1241d953d0702b0e4cc9,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_39d7771240b14f062898,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,78207b053aa7f3b3f59ec8b7e8f4be2fca59f4f23b5d93977dfeb3ca78d6d90b,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_df59222dfdcfceaa0aac,corpus_boundary_partial_answer_handling,HOLDOUT_TEST,e43b49d4185137122d57246d9144743fc1796a29f25fd4fbdc03aa22a6a06354,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_182d7b08c6e0fdc0ae46,corpus_boundary_partial_answer_handling,RESERVE,01116202ac3ddd2da4f8fba03a01b27c9be7931b7659fd0a77da826a4816eba0,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_6570dddcf3bb1e16516f,corpus_boundary_partial_answer_handling,RESERVE,3b8e7fe3fec75b5530182dcf449836163ac181b013ff7e67c92423304c39edb7,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_90695ba7553824abd1e6,corpus_boundary_partial_answer_handling,EXCLUDE,a98e41b03b67bb031e7408e6ab7887422a028cd957a7da718ab5fed645b64f3e,D10,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
