old_path,classification,replacement_or_destination,action,reason,sha256_before
scripts/evaluate_bm25.py,MIGRATED_LEGACY,"legal_rag.evaluation",DELETE,"Replacement and equivalence regression already established in M1-M5.",060fedbc186598149de1d545058bb6ba67549968fc78542fc2850aa75362cce2
"scripts/evaluate_dense.py",MIGRATED_LEGACY,"legal_rag.evaluation",DELETE,"Replacement and equivalence regression already established in M1-M5.",d4e262b0dc8bf644285f9453c061306e18d3e80c1e46f1b6fcb6926384c7538c
scripts/evaluate_hybrid.py,MIGRATED_LEGACY,"legal_rag.evaluation",DELETE,"Replacement and equivalence regression already established in M1-M5.",aba1d2f9d84052668640ef8df73d95018fbb806c6d7f823a14f37324f42d7ef9
"scripts/evaluate_reranker.py",MIGRATED_LEGACY,"legal_rag.evaluation",DELETE,"Replacement and equivalence regression already established in M1-M5.",1b8b078e520087431373daf34d32e599bc4b83fcf51d266a4d08e08749440c81
"scripts/evaluate_standard_rag.py",MIGRATED_LEGACY,"legal_rag.evaluation",DELETE,"Replacement and equivalence regression already established in M1-M5.",0c8a8def9966b94c946d80ddbfbf31a4ddd446e3e6eb49f02c89254a2f032bf7
"scripts/evidence_formatter.py",MIGRATED_LEGACY,"legal_rag.generation.evidence",DELETE,"Replacement and equivalence regression already established in M1-M5.",f9ad9f39944f6ec72bea920822f17c53e7ac95bf9ac416a1d53382ab8e04d259
scripts/extract_docx.py,MIGRATED_LEGACY,"legal_rag.ingestion.extractors",DELETE,"Replacement and equivalence regression already established in M1-M5.",256c7b10e709c66f2424714575ed435f6b5d8f6a18eff08b72450ec93b034379
"scripts/generate_human_review_report.py",ANNOTATION_TOOL,"tools/annotation/generate_human_review_report.py",MOVE,"Useful annotation/review workflow; data paths require M6 canonical update.",aa9bb4525c2897d65f8c3d30ef1c50088ae0647035571940052a2cbdf5a14284
scripts/hash_raw_files.py,DATASET_TOOL,tools/dataset/hash_raw_files.py,MOVE,"Useful dataset maintenance or benchmark-authoring orchestration.",2891a9fc5997b82781e65471fd6e690cdb936d3676be87b4a27fcaa344c6877a
scripts/hybrid_rrf.py,MIGRATED_LEGACY,"legal_rag.retrieval.fusion",DELETE,"Replacement and equivalence regression already established in M1-M5.",864e02129fa8fa4e21fe596a82b7c6592693abae90312605c30abe5110975470
"scripts/ingest.py",PRIMARY_CLI,"scripts/ingest.py",KEEP,"Thin supported user-facing CLI.",5052181a6f94f72563211f279fd5063d9225fda46b77c1415c0bd3dc134b5c49
"scripts/inspect_chunk_issues.py",VALIDATION_TOOL,"tools/validation/inspect_chunk_issues.py",MOVE,"Useful validation/reporting orchestrator; reusable logic remains in src.",2701eda4f36d9e23493b5e38cce47934cc2941af00ccf58bbcc3d2a1a55733f3
"scripts/llm_client.py",MIGRATED_LEGACY,"legal_rag.llm_client",DELETE,"Replacement and equivalence regression already established in M1-M5.",b60c064aad63ef92d320af697791ec65c5c30c35caee8a7e174c3ef37724bf84
scripts/parse_legal_structure.py,MIGRATED_LEGACY,"legal_rag.ingestion.parsers",DELETE,"Replacement and equivalence regression already established in M1-M5.",cb4c0fbcc95034b98fe7cb492fdab501a9cedac3b3d5ac889ee28a34d7f97215
"scripts/phase5_ablation_runner.py",RESEARCH_TOOL,"tools/research/phase5/phase5_ablation_runner.py",MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",df71f872f0c7832c4ad18d8d6e269c5486aefc71f8769db10dafe39a814a6fcc
"scripts/phase5_analyze.py",RESEARCH_TOOL,"tools/research/phase5/phase5_analyze.py",MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",1a7dd230b4062ed63b2767f179e4af43b10362f782d44bf5030caa63ddae30e2
scripts/phase5_assets.py,RESEARCH_TOOL,tools/research/phase5/phase5_assets.py,MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",c013fe4b96c99dcdbb1ea2db77c80a8231d9559130453114e8bd0041252712d7
"scripts/phase5_common.py",RESEARCH_TOOL,"tools/research/phase5/phase5_common.py",MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",b3e4ca453425c466fcf19dc0553846a8f735cab7d9a53d59a9fe7dee9e4f47bf
scripts/phase5_durable_seal_v1.py,RESEARCH_TOOL,tools/research/phase5/phase5_durable_seal_v1.py,MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",628dfc0555b37fd57d0688e1e0232d69195459e2def151d9499c9334b4727b73
"scripts/phase5_evaluation_quota_recovery_v1.py",RESEARCH_TOOL,"tools/research/phase5/phase5_evaluation_quota_recovery_v1.py",MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",15d08405cdf7706b46cabf4de1c736354e7b2c0e7362d2c96fc36152e19c73c1
"scripts/phase5_isolation.py",RESEARCH_TOOL,"tools/research/phase5/phase5_isolation.py",MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",fbb6bd1cbd76e98aac18dd701c794792523c485f05baa4c6b5a0c447ab4d4f09
scripts/phase5_observer.py,RESEARCH_TOOL,tools/research/phase5/phase5_observer.py,MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",1dccc08b678476fb5b64dae416cece77c5f5285f8984fbec094168d49df6cf85
scripts/phase5_preflight.py,RESEARCH_TOOL,tools/research/phase5/phase5_preflight.py,MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",a118c96ab35834ccb9a58f2b90f83ae9ef8c5bcce5ad244dc853f36ae2f1c215
scripts/phase5_seal_recovery_v1.py,RESEARCH_TOOL,tools/research/phase5/phase5_seal_recovery_v1.py,MOVE_BYTE_IDENTICAL,"Frozen provenance-sensitive Phase 5 scientific tooling.",47389eabf5501266e31c6b0f4c4dfdd61369b443ec1f0079b59ecce52ec6cccd
"scripts/rag_baseline.py",MIGRATED_LEGACY,"legal_rag.generation.standard",DELETE,"Replacement and equivalence regression already established in M1-M5.",ae5a2dd7b0f89d7969c16c5d711e229bd1673df43e188f9a7296086e57d9b95a
"scripts/reranker_baseline.py",MIGRATED_LEGACY,"legal_rag.retrieval.reranker",DELETE,"Replacement and equivalence regression already established in M1-M5.",609c2eb42f52265fa0a630697cedd2e000b9b5a52a4b0a848259d597e2bb6f85
"scripts/response_formatter.py",MIGRATED_LEGACY,"legal_rag.generation.formatter",DELETE,"Replacement and equivalence regression already established in M1-M5.",ccc506802981ca3e200b043c4c279e94b2dc3dbdaa8f60317a6d69369154f7e0
"scripts/retrieval_pipeline.py",MIGRATED_LEGACY,"legal_rag.retrieval.pipeline",DELETE,"Replacement and equivalence regression already established in M1-M5.",5080df6e2bbfb33cf945f3fa797107ac7d510cab1f6e2bc4f3bf25741766fd42
"scripts/run_agentic_rag.py",PRIMARY_CLI,"scripts/run_agentic_rag.py",KEEP,"Thin supported user-facing CLI.",93ac059c98da3ac61d871b9ab79163c79d780b639ad8df72fcd571998db9713d
"scripts/run_eval.py",PRIMARY_CLI,"scripts/run_eval.py",KEEP,"Thin supported user-facing CLI.",1b2b9b4f8bf7df63ff300d65274ffa32c7403a15a68100eb5d00558e86c02e0e
"scripts/run_standard_rag.py",PRIMARY_CLI,"scripts/run_standard_rag.py",KEEP,"Thin supported user-facing CLI.",5fae20082f8e53d33eb1ab800ec7e652a85011e8ccc84945e386331469de9cd3
scripts/update_source_hashes.py,DATASET_TOOL,tools/dataset/update_source_hashes.py,MOVE,"Useful dataset maintenance or benchmark-authoring orchestration.",a9d2a7ea91c627b6c1fa2628ae60894bd6d4c78795092e551b4ed8a0d492f5c8
"scripts/update_verification_status.py",ANNOTATION_TOOL,"tools/annotation/update_verification_status.py",MOVE,"Useful annotation/review workflow; data paths require M6 canonical update.",7b6ecc51704d8ccc047b42b3ed29044063714b259c7aff4e0ec7a66b28a3bf88
scripts/validate_corpus.py,MIGRATED_LEGACY,"legal_rag.ingestion.validators",DELETE,"Replacement and equivalence regression already established in M1-M5.",27c2c3cbeb68426658c1fe20fe6baa3376232a81b329e837f73e0bf54b2c9f95
"scripts/validate_generation_eval.py",VALIDATION_TOOL,"tools/validation/validate_generation_eval.py",MOVE,"Useful validation/reporting orchestrator; reusable logic remains in src.",b8b5cc4eff89bc41eae0ff3f4bf3379c7ba6c11d508b8ec4d1082d5e7a18c824
scripts/validate_retrieval_eval.py,VALIDATION_TOOL,"tools/validation/validate_retrieval_eval.py",MOVE,"Useful validation/reporting orchestrator; reusable logic remains in src.",22f4f8f1df97f6d060ce87c856bac130b33fce30a88c8c4a5892d130cfff9ab5
