query_id,query,query_type,difficulty,gold_document_count,gold_article_count,gold_chunk_count,union_candidate_count,union_gold_count,top1_chunk_id,top1_article_id,top1_reranker_score,top1_bm25_rank,top1_dense_rank,first_gold_chunk_rank,first_gold_article_rank,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,reciprocal_rank,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_reciprocal_rank,failure_taxonomy
eval010,Nhà cung cấp cần làm gì khi phát hiện sự cố liên quan đến hệ thống trí tuệ nhân tạo?,incident,easy,1,1,1,31,1,134-2025-QH15_dieu-12_khoan-1,134-2025-QH15_dieu-12,6.0388622284,4,3,2,1,0,1,1,1.0000000000,1.0000000000,0.5000000000,1,1,1,1.0000000000,OTHER
eval011,"Cơ chế thử nghiệm có kiểm soát cho phép tổ chức, cá nhân được hưởng những cơ chế gì trong phạm vi thử nghiệm?",sandbox,medium,1,1,2,29,0,142-2026-ND-CP_dieu-23_khoan-1,142-2026-ND-CP_dieu-23,6.3062100410,2,2,,,0,0,0,0.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,CANDIDATE_MISS
eval012,Cơ quan nào quyết định chấp thuận tham gia cơ chế thử nghiệm có kiểm soát?,authority,medium,1,1,3,28,3,142-2026-ND-CP_dieu-23_khoan-1,142-2026-ND-CP_dieu-23,5.8868870735,2,2,3,1,0,1,1,1.0000000000,1.0000000000,0.3333333333,1,1,1,1.0000000000,OTHER
eval013,Việc phân loại cấp độ thử nghiệm có kiểm soát dựa trên những tiêu chí nào?,sandbox,medium,1,1,5,24,5,142-2026-ND-CP_dieu-22_khoan-2,142-2026-ND-CP_dieu-22,5.5368137360,2,1,1,1,1,1,1,0.6000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval014,Hồ sơ thông thường để tham gia cơ chế thử nghiệm có kiểm soát gồm những thành phần nào?,procedure,medium,1,1,4,31,4,142-2026-ND-CP_dieu-24_khoan-2_diem-a,142-2026-ND-CP_dieu-24,2.9063491821,5,1,1,1,1,1,1,0.5000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval015,Khi nào cơ quan có thẩm quyền có thể tạm dừng hoặc chấm dứt thử nghiệm?,condition,hard,2,2,2,33,2,134-2025-QH15_dieu-21_khoan-3,134-2025-QH15_dieu-21,4.4181771278,3,7,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval016,Tổ chức hoặc cá nhân phải báo cáo gì trong quá trình thử nghiệm có kiểm soát?,procedure,medium,1,1,5,29,5,142-2026-ND-CP_dieu-25_khoan-4,142-2026-ND-CP_dieu-25,6.1397142410,1,1,1,1,1,1,1,0.4000000000,0.8000000000,1.0000000000,1,1,1,1.0000000000,MULTI_CHUNK_COVERAGE
eval017,Có thể gia hạn thời gian thử nghiệm có kiểm soát hay không và thủ tục thế nào?,procedure,medium,1,1,1,33,1,142-2026-ND-CP_dieu-27_khoan-1,142-2026-ND-CP_dieu-27,3.6212301254,2,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval018,"Sau khi kết thúc thử nghiệm, cơ quan có thẩm quyền xử lý kết quả như thế nào?",procedure,medium,1,1,3,26,3,142-2026-ND-CP_dieu-27_khoan-1,142-2026-ND-CP_dieu-27,3.4103040695,2,1,1,1,1,1,1,0.6666666667,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval019,Cơ sở dữ liệu quốc gia phục vụ trí tuệ nhân tạo được tổ chức theo những nguyên tắc nào?,data_governance,easy,1,1,1,31,1,134-2025-QH15_dieu-17_khoan-2,134-2025-QH15_dieu-17,8.8720397949,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval020,Dữ liệu mở có điều kiện được hiểu là gì?,definition,easy,1,1,1,32,1,142-2026-ND-CP_dieu-3_khoan-7,142-2026-ND-CP_dieu-3,5.3692378998,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval021,Những loại dữ liệu nào có thể được đưa vào cơ sở dữ liệu phục vụ trí tuệ nhân tạo?,data_governance,easy,1,1,3,28,3,134-2025-QH15_dieu-17_khoan-5,134-2025-QH15_dieu-17,5.4169464111,,11,2,2,0,1,1,0.3333333333,0.6666666667,0.5000000000,0,1,1,0.5000000000,MULTI_CHUNK_COVERAGE
eval022,Cơ quan quản lý có trách nhiệm gì đối với việc xây dựng và cập nhật dữ liệu mở phục vụ AI?,actor_obligation,medium,1,1,3,30,2,142-2026-ND-CP_dieu-43_khoan-4,142-2026-ND-CP_dieu-43,3.3101172447,6,7,5,5,0,0,1,0.3333333333,0.3333333333,0.2000000000,0,0,1,0.2000000000,PARTIAL_CANDIDATE_COVERAGE
eval023,Quy định về bảo đảm khả năng kết nối và khai thác dữ liệu phục vụ trí tuệ nhân tạo là gì?,data_governance,easy,1,1,2,33,1,134-2025-QH15_dieu-17_khoan-6,134-2025-QH15_dieu-17,5.8443717957,1,9,4,1,0,0,1,0.5000000000,0.5000000000,0.2500000000,1,1,1,1.0000000000,OTHER
eval024,Những hành vi nào liên quan đến AI bị nghiêm cấm khi lợi dụng nhóm người dễ bị tổn thương?,prohibition,easy,1,1,1,30,1,134-2025-QH15_dieu-7_khoan-2_diem-c,134-2025-QH15_dieu-7,6.0426502228,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval025,"Khi ứng dụng AI trong quản lý nhà nước, cơ quan vận hành phải đánh giá tác động trong trường hợp nào?",public_sector,hard,1,1,7,26,7,134-2025-QH15_dieu-27_khoan-3,134-2025-QH15_dieu-27,4.4622983932,1,11,2,2,0,1,1,0.2857142857,0.7142857143,0.5000000000,0,1,1,0.5000000000,MULTI_CHUNK_COVERAGE
eval026,Báo cáo đánh giá tác động khi sử dụng AI trong khu vực công cần đề cập những nội dung gì?,public_sector,medium,1,1,4,30,3,134-2025-QH15_dieu-27_khoan-3,134-2025-QH15_dieu-27,2.3189907074,5,5,5,2,0,0,1,0.2500000000,0.5000000000,0.2000000000,0,1,1,0.5000000000,PARTIAL_CANDIDATE_COVERAGE
eval027,Nguyên tắc đạo đức khi phát triển và sử dụng trí tuệ nhân tạo được đặt ra như thế nào?,ethics,medium,1,1,4,29,2,05-2026-TT-BKHCN_dieu-2_khoan-1,05-2026-TT-BKHCN_dieu-2,6.1166858673,2,2,3,2,0,1,1,0.2500000000,0.2500000000,0.3333333333,0,1,1,0.5000000000,PARTIAL_CANDIDATE_COVERAGE
eval028,Tổ chức phát triển hoặc triển khai AI cần bảo đảm trách nhiệm giải trình ra sao?,accountability,hard,1,1,2,33,2,134-2025-QH15_dieu-15_khoan-2_diem-b,134-2025-QH15_dieu-15,4.6022334099,17,5,4,2,0,0,1,0.5000000000,1.0000000000,0.2500000000,0,1,1,0.5000000000,OTHER
eval029,"Theo Khung đạo đức trí tuệ nhân tạo quốc gia, khi hệ thống AI có thể ảnh hưởng đáng kể đến quyền con người thì cần áp dụng những biện pháp kiểm soát nào?",rights_risk,hard,1,1,2,30,2,05-2026-TT-BKHCN_dieu-3_khoan-2_diem-a,05-2026-TT-BKHCN_dieu-3,6.2299180031,3,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval030,Những yêu cầu nào giúp bảo đảm con người vẫn có khả năng giám sát và can thiệp vào hệ thống AI?,human_oversight,hard,1,1,1,29,1,134-2025-QH15_dieu-4_khoan-2,134-2025-QH15_dieu-4,3.3715395927,3,2,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
