path,purpose,imports,imported_by,CLI entrypoint?,research phase,classification,frozen_reference?,manifest_or_artifact_reference?,safe_to_move?,recommended_destination,migration_action,notes
scripts/__pycache__/clean_docx_text.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/clean_docx_text.cpython-312.pyc
scripts/__pycache__/create_verification_samples.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/create_verification_samples.cpython-312.pyc
scripts/__pycache__/dense_baseline.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/dense_baseline.cpython-310.pyc
scripts/__pycache__/dense_baseline.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/dense_baseline.cpython-312.pyc
scripts/__pycache__/evaluate_agentic_rag.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evaluate_agentic_rag.cpython-312.pyc
scripts/__pycache__/evaluate_bm25.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evaluate_bm25.cpython-312.pyc
scripts/__pycache__/evaluate_dense.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evaluate_dense.cpython-312.pyc
scripts/__pycache__/evaluate_hybrid.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evaluate_hybrid.cpython-312.pyc
scripts/__pycache__/evaluate_reranker.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evaluate_reranker.cpython-312.pyc
scripts/__pycache__/evaluate_standard_rag.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evaluate_standard_rag.cpython-312.pyc
scripts/__pycache__/evidence_formatter.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evidence_formatter.cpython-310.pyc
scripts/__pycache__/evidence_formatter.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/evidence_formatter.cpython-312.pyc
scripts/__pycache__/extract_docx.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/extract_docx.cpython-312.pyc
scripts/__pycache__/generate_human_review_report.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/generate_human_review_report.cpython-312.pyc
scripts/__pycache__/hash_raw_files.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/hash_raw_files.cpython-312.pyc
scripts/__pycache__/hybrid_rrf.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/hybrid_rrf.cpython-312.pyc
scripts/__pycache__/inspect_chunk_issues.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/inspect_chunk_issues.cpython-312.pyc
scripts/__pycache__/llm_client.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/llm_client.cpython-310.pyc
scripts/__pycache__/llm_client.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/llm_client.cpython-312.pyc
scripts/__pycache__/parse_legal_structure.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/parse_legal_structure.cpython-312.pyc
scripts/__pycache__/rag_baseline.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,unknown,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal.
scripts/__pycache__/rag_baseline.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/rag_baseline.cpython-312.pyc
scripts/__pycache__/reranker_baseline.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/reranker_baseline.cpython-310.pyc
scripts/__pycache__/reranker_baseline.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/reranker_baseline.cpython-312.pyc
scripts/__pycache__/response_formatter.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/response_formatter.cpython-310.pyc
scripts/__pycache__/response_formatter.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/response_formatter.cpython-312.pyc
scripts/__pycache__/retrieval_pipeline.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/retrieval_pipeline.cpython-310.pyc
scripts/__pycache__/retrieval_pipeline.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/retrieval_pipeline.cpython-312.pyc
scripts/__pycache__/update_source_hashes.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/update_source_hashes.cpython-312.pyc
scripts/__pycache__/update_verification_status.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/update_verification_status.cpython-312.pyc
scripts/__pycache__/validate_corpus.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/validate_corpus.cpython-312.pyc
scripts/__pycache__/validate_generation_eval.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/validate_generation_eval.cpython-312.pyc
scripts/__pycache__/validate_retrieval_eval.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/validate_retrieval_eval.cpython-312.pyc
scripts/agentic_rag.py,Controlled Agentic RAG v1 runtime.,__future__; argparse; citation_validator; dataclasses; datetime; evidence_formatter; json; llm_client; os; pathlib; rag_baseline; re; response_formatter; retrieval_pipeline; sys; typing; uuid,scripts/evaluate_agentic_rag.py; scripts/phase5_ablation_runner.py; scripts/phase5_observer.py; tests/test_agentic_evaluation.py; tests/test_agentic_rag.py; tests/test_phase5_ablation_runner.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_BUT_WRAPPABLE,yes,yes,no,scripts/agentic_rag.py,COPY_WRAPPER_ONLY,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/analyze_candidate_coverage.py,Diagnostic coverage analysis for BM25@20 union Dense@20 (no fusion/reranking).,__future__; argparse; bm25_baseline; collections; csv; dense_baseline; hashlib; json; pathlib; statistics; typing,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/analysis/analyze_candidate_coverage.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/analyze_candidate_coverage.py"
scripts/analyze_standard_rag_failures.py,Read-only Phase 4A failure analysis for a Standard RAG result dataset.,__future__; argparse; collections; datetime; hashlib; json; math; pathlib; reranker_baseline; statistics; sys; typing; validate_generation_eval,,yes,Phase 4A,RESEARCH_TOOLING,yes,yes,needs_review,scripts/analysis/analyze_standard_rag_failures.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/analyze_standard_rag_failures.py"
scripts/annotate_retrieval_eval.py,"Deterministic, corpus-only support tool for retrieval evaluation annotation.",__future__; argparse; collections; csv; json; pathlib; re; unicodedata,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/dataset/annotate_retrieval_eval.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/annotate_retrieval_eval.py"
scripts/bm25_baseline.py,"BM25 corpus loading, tokenization and retrieval CLI",__future__; argparse; json; pathlib; rank_bm25; re; typing; unicodedata,scripts/analyze_candidate_coverage.py; scripts/evaluate_bm25.py; scripts/hybrid_rrf.py; scripts/reranker_baseline.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/bm25_baseline.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/build_chunks.py,Build legal chunks from parsed articles and registry,__future__; csv; json; pathlib; re; typing,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/dataset/build_chunks.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/build_chunks.py"
scripts/build_dense_index.py,Build the frozen corpus-v0.1 dense index.,__future__; argparse; datetime; dense_baseline; hashlib; huggingface_hub; json; numpy; pathlib,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/dataset/build_dense_index.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/build_dense_index.py"
scripts/build_generation_eval_v1.py,Build the generation annotation audit v1 artifact from the frozen v0 draft.,__future__; copy; hashlib; json; pathlib,,yes,generation annotation v1 audit,ONE_OFF_PHASE_SCRIPT,yes,yes,needs_review,scripts/dataset/build_generation_eval_v1.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/build_generation_eval_v1.py Fixed historical annotation/report construction; frozen outputs do not make the source disposable."
scripts/check_register.py,Validate source registry dates and metadata,csv; datetime; pathlib,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/validate/check_register.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/check_register.py"
scripts/citation_validator.py,Strict validation of model-generated evidence citations.,__future__; dataclasses; re; typing,data/evaluation/generation/phase5/phase5b2f_v0/analysis_tools/offline_analysis_v0.py; scripts/agentic_rag.py; scripts/evaluate_agentic_rag.py; scripts/evaluate_standard_rag.py; scripts/rag_baseline.py; tests/test_phase5_evaluation_quota_recovery.py; tests/test_phase5_leakage.py; tests/test_rag_runtime.py,no,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/citation_validator.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/clean_docx_text.py,Clean extracted DOCX text and write audit reports,__future__; csv; pathlib; re; unicodedata,,yes,corpus construction / historical retrieval / generation annotation,UTILITY,yes,yes,needs_review,scripts/dataset/clean_docx_text.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/clean_docx_text.py"
scripts/create_verification_samples.py,Create deterministic manual-verification checklists for the corpus.,__future__; collections; csv; json; pathlib; re; typing,,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/dataset/create_verification_samples.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/create_verification_samples.py"
scripts/dense_baseline.py,Dense-only retrieval with jinaai/jina-embeddings-v3.,__future__; argparse; json; numpy; pathlib; torch; transformers; typing,scripts/analyze_candidate_coverage.py; scripts/build_dense_index.py; scripts/evaluate_dense.py; scripts/hybrid_rrf.py; scripts/reranker_baseline.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_REFERENCE,yes,yes,no,scripts/dense_baseline.py,KEEP_IN_PLACE,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/evaluate_agentic_rag.py,Evaluation-only runner for Agentic RAG v1.,__future__; agentic_rag; argparse; citation_validator; datetime; evaluate_standard_rag; json; llm_client; pathlib; re; retrieval_pipeline; statistics; sys; typing,data/evaluation/generation/phase5/phase5b2e_v0/evaluate_frozen.py; scripts/phase5_analyze.py; scripts/phase5_evaluation_quota_recovery_v1.py; tests/test_agentic_evaluation.py; tests/test_phase5_leakage.py,yes,Agentic v1 / Standard RAG / generation-eval-v1,FROZEN_BUT_WRAPPABLE,yes,yes,no,scripts/evaluate_agentic_rag.py,COPY_WRAPPER_ONLY,Explicit Phase 5A frozen_artifacts binding; preserve bytes and original path. Wrapper is a future proposal only.
scripts/evaluate_bm25.py,Evaluate the unchanged BM25-simple-v0 baseline on verified gold queries.,__future__; bm25_baseline; collections; csv; json; pathlib; re; typing,scripts/evaluate_dense.py; scripts/evaluate_hybrid.py; scripts/evaluate_reranker.py,yes,corpus construction / historical retrieval / generation annotation,RESEARCH_TOOLING,yes,yes,needs_review,scripts/evaluate/evaluate_bm25.py,MANUAL_REVIEW,"Proposed destination only; inspect root-relative paths, import consumers and historical output bindings before migration. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/evaluate_bm25.py"
