query_id,query,query_type,difficulty,gold_document_count,gold_article_count,gold_chunk_count,top1_chunk_id,top1_article_id,top1_rrf_score,top1_bm25_rank,top1_dense_rank,first_gold_chunk_rank,first_gold_article_rank,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,reciprocal_rank,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_reciprocal_rank
eval015,Khi nào cơ quan có thẩm quyền có thể tạm dừng hoặc chấm dứt thử nghiệm?,condition,hard,2,2,2,142-2026-ND-CP_dieu-25_khoan-1_diem-c,142-2026-ND-CP_dieu-25,0.0325224749,2,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval016,Tổ chức hoặc cá nhân phải báo cáo gì trong quá trình thử nghiệm có kiểm soát?,procedure,medium,1,1,5,142-2026-ND-CP_dieu-25_khoan-4,142-2026-ND-CP_dieu-25,0.0327868852,1,1,1,1,1,1,1,0.4000000000,0.8000000000,1.0000000000,1,1,1,1.0000000000
eval017,Có thể gia hạn thời gian thử nghiệm có kiểm soát hay không và thủ tục thế nào?,procedure,medium,1,1,1,142-2026-ND-CP_dieu-27_khoan-1,142-2026-ND-CP_dieu-27,0.0325224749,2,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval018,"Sau khi kết thúc thử nghiệm, cơ quan có thẩm quyền xử lý kết quả như thế nào?",procedure,medium,1,1,3,142-2026-ND-CP_dieu-27_khoan-6_diem-a,142-2026-ND-CP_dieu-27,0.0325224749,1,2,2,1,0,1,1,0.3333333333,0.6666666667,0.5000000000,1,1,1,1.0000000000
eval019,Cơ sở dữ liệu quốc gia phục vụ trí tuệ nhân tạo được tổ chức theo những nguyên tắc nào?,data_governance,easy,1,1,1,134-2025-QH15_dieu-17_khoan-2,134-2025-QH15_dieu-17,0.0327868852,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval020,Dữ liệu mở có điều kiện được hiểu là gì?,definition,easy,1,1,1,142-2026-ND-CP_dieu-3_khoan-7,142-2026-ND-CP_dieu-3,0.0327868852,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval021,Những loại dữ liệu nào có thể được đưa vào cơ sở dữ liệu phục vụ trí tuệ nhân tạo?,data_governance,easy,1,1,3,134-2025-QH15_dieu-17_khoan-1,134-2025-QH15_dieu-17,0.0327868852,1,1,9,3,0,0,0,0.0000000000,0.3333333333,0.1111111111,0,1,1,0.3333333333
eval022,Cơ quan quản lý có trách nhiệm gì đối với việc xây dựng và cập nhật dữ liệu mở phục vụ AI?,actor_obligation,medium,1,1,3,142-2026-ND-CP_dieu-42_khoan-3,142-2026-ND-CP_dieu-42,0.0317780580,5,1,,5,0,0,0,0.0000000000,0.0000000000,0.0000000000,0,0,1,0.2000000000
eval023,Quy định về bảo đảm khả năng kết nối và khai thác dữ liệu phục vụ trí tuệ nhân tạo là gì?,data_governance,easy,1,1,2,134-2025-QH15_dieu-17_khoan-6,134-2025-QH15_dieu-17,0.0308861962,1,9,9,1,0,0,0,0.0000000000,0.5000000000,0.1111111111,1,1,1,1.0000000000
eval024,Những hành vi nào liên quan đến AI bị nghiêm cấm khi lợi dụng nhóm người dễ bị tổn thương?,prohibition,easy,1,1,1,134-2025-QH15_dieu-7_khoan-2_diem-c,134-2025-QH15_dieu-7,0.0327868852,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval025,"Khi ứng dụng AI trong quản lý nhà nước, cơ quan vận hành phải đánh giá tác động trong trường hợp nào?",public_sector,hard,1,1,7,142-2026-ND-CP_dieu-20_khoan-2,142-2026-ND-CP_dieu-20,0.0310993250,8,1,1,1,1,1,1,0.2857142857,0.4285714286,1.0000000000,1,1,1,1.0000000000
eval026,Báo cáo đánh giá tác động khi sử dụng AI trong khu vực công cần đề cập những nội dung gì?,public_sector,medium,1,1,4,134-2025-QH15_dieu-27_khoan-4,134-2025-QH15_dieu-27,0.0325224749,1,2,,2,0,0,0,0.0000000000,0.0000000000,0.0000000000,0,1,1,0.5000000000
eval027,Nguyên tắc đạo đức khi phát triển và sử dụng trí tuệ nhân tạo được đặt ra như thế nào?,ethics,medium,1,1,4,05-2026-TT-BKHCN_dieu-2_khoan-1,05-2026-TT-BKHCN_dieu-2,0.0322580645,2,2,7,2,0,0,0,0.0000000000,0.2500000000,0.1428571429,0,1,1,0.5000000000
eval028,Tổ chức phát triển hoặc triển khai AI cần bảo đảm trách nhiệm giải trình ra sao?,accountability,hard,1,1,2,142-2026-ND-CP_dieu-16_khoan-1,142-2026-ND-CP_dieu-16,0.0313188158,7,1,2,2,0,1,1,0.5000000000,0.5000000000,0.5000000000,0,1,1,0.5000000000
eval029,"Theo Khung đạo đức trí tuệ nhân tạo quốc gia, khi hệ thống AI có thể ảnh hưởng đáng kể đến quyền con người thì cần áp dụng những biện pháp kiểm soát nào?",rights_risk,hard,1,1,2,05-2026-TT-BKHCN_dieu-3_khoan-1_diem-c,05-2026-TT-BKHCN_dieu-3,0.0325224749,1,2,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval030,Những yêu cầu nào giúp bảo đảm con người vẫn có khả năng giám sát và can thiệp vào hệ thống AI?,human_oversight,hard,1,1,1,05-2026-TT-BKHCN_dieu-3_khoan-1_diem-c,05-2026-TT-BKHCN_dieu-3,0.0327868852,1,1,2,2,0,1,1,1.0000000000,1.0000000000,0.5000000000,0,1,1,0.5000000000
